minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
24,Kevin De Bruyne,Manchester City,0.22,0.40,Goal,25,Left Foot,,,,,
45,Erling Haaland,Manchester City,0.08,,Blocked,15,Left Foot,"Deflected, Volley",Kyle Walker,Pass (Dead),Kyle Walker,Pass (Dead)
45+6,Rodri,Manchester City,0.07,,Blocked,9,Head,,Erling Haaland,Fouled,Jack Grealish,Pass (Live)
45+6,Nathan Aké,Manchester City,0.68,,Woodwork,4,Right Foot,,Rodri,Shot,,
68,Rodri,Manchester City,0.15,0.05,Saved,9,Head,,Kevin De Bruyne,Pass (Dead),Jack Grealish,Fouled
68,Manuel Akanji,Manchester City,0.39,,Blocked,9,Left Foot,,Rodri,Shot,,
69,Erling Haaland,Manchester City,0.07,0.09,Saved,10,Right Foot,,Bernardo Silva,Pass (Live),,
72,Jack Grealish,Manchester City,0.09,0.04,Goal,18,Right Foot,Deflected,İlkay Gündoğan,Pass (Live),Erling Haaland,Pass (Live)
82,Erling Haaland,Manchester City,0.11,0.69,Goal,11,Right Foot,,Kevin De Bruyne,Pass (Live),İlkay Gündoğan,Pass (Live)
