minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
44,Kamaldeen Sulemana,Southampton,0.09,,Off Target,16,Right Foot,,Roméo Lavia,Pass (Live),Roméo Lavia,Take-On
49,Armel Bella Kotchap,Southampton,0.16,,Off Target,10,Head,,James Ward-Prowse,Pass (Dead),Theo Walcott,Fouled
54,Mohamed Elyounoussi,Southampton,0.03,,Blocked,27,Right Foot,,Carlos Alcaraz,Pass (Live),Mohamed Elyounoussi,Tackle
72,Sekou Mara,Southampton,0.14,0.54,Goal,15,Right Foot,,Moussa Djenepo,Pass (Live),Moussa Djenepo,Take-On
