minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
11,Toni Kroos,Real Madrid,0.03,0.21,Saved,31,Right Foot,,Luka Modrić,Pass (Live),Toni Kroos,Pass (Live)
17,Luka Modrić,Real Madrid,0.03,0.03,Saved,30,Right Foot,,Ferland Mendy,Pass (Live),Toni Kroos,Pass (Live)
26,Karim Benzema,Real Madrid,0.04,0.17,Saved,22,Right Foot,,Toni Kroos,Pass (Live),Casemiro,Pass (Live)
35,Karim Benzema,Real Madrid,0.31,0.38,Saved,11,Head,,Luka Modrić,Pass (Live),Nacho,Pass (Live)
64,Eden Hazard,Real Madrid,0.05,0.06,Saved,13,Right Foot,,Federico Valverde,Pass (Live),Nacho,Pass (Live)
64,Casemiro,Real Madrid,0.04,,Blocked,23,Right Foot,Volley,Eden Hazard,Shot,,
78,Marco Asensio,Real Madrid,0.02,,Blocked,33,Left Foot,,Rodrygo,Pass (Live),Federico Valverde,Pass (Live)
